file,documentID,instanceID,parentDocumentID,parentInstanceID
/home/renku/work/dcaonnextcloud-500gb/DigitalMaterialCopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/01_dFab/060607_Fassadenstudie/060606_screenshots/ethlogo_black.tif,,,,
/home/renku/work/dcaonnextcloud-500gb/DigitalMaterialCopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/01_dFab/060607_Fassadenstudie/060606_screenshots/fluid01_c1.tif,adobe:docid:photoshop:61124115-f59c-11da-b021-8ba1b752bf42,,,
/home/renku/work/dcaonnextcloud-500gb/DigitalMaterialCopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/01_dFab/060607_Fassadenstudie/060606_screenshots/fluid01_c2.tif,adobe:docid:photoshop:9388bdb3-f59d-11da-b021-8ba1b752bf42,,,
/home/renku/work/dcaonnextcloud-500gb/DigitalMaterialCopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/01_dFab/060607_Fassadenstudie/060606_screenshots/fluid02_c1.tif,adobe:docid:photoshop:9388bdb9-f59d-11da-b021-8ba1b752bf42,,,
/home/renku/work/dcaonnextcloud-500gb/DigitalMaterialCopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/01_dFab/060607_Fassadenstudie/060606_screenshots/fluid02_c2.tif,adobe:docid:photoshop:b2e3b9a4-f59d-11da-b021-8ba1b752bf42,,,
/home/renku/work/dcaonnextcloud-500gb/DigitalMaterialCopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/01_dFab/060607_Fassadenstudie/060606_screenshots/fluid03_c1.tif,adobe:docid:photoshop:b2e3b9aa-f59d-11da-b021-8ba1b752bf42,,,
/home/renku/work/dcaonnextcloud-500gb/DigitalMaterialCopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/01_dFab/060607_Fassadenstudie/060606_screenshots/fluid03_c2.tif,adobe:docid:photoshop:17aa1ab6-f59d-11da-b021-8ba1b752bf42,,,
/home/renku/work/dcaonnextcloud-500gb/DigitalMaterialCopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/01_dFab/060607_Fassadenstudie/060606_screenshots/fluid04_c1.tif,adobe:docid:photoshop:38d0e894-f59c-11da-b021-8ba1b752bf42,,,
/home/renku/work/dcaonnextcloud-500gb/DigitalMaterialCopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/01_dFab/060607_Fassadenstudie/060606_screenshots/fluid04_c2.tif,adobe:docid:photoshop:38d0e898-f59c-11da-b021-8ba1b752bf42,,,
/home/renku/work/dcaonnextcloud-500gb/DigitalMaterialCopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/01_dFab/060607_Fassadenstudie/060606_screenshots/fluid05_c1.tif,adobe:docid:photoshop:f2b75011-f59c-11da-b021-8ba1b752bf42,,,
